UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Guillermo Lasso,@LassoGuillermo,2021-05-20T16:51:18.000Z,"Hace más de 30 años trabajo junto a Iván Correa, próximo Secretario General de la Administración Pública. Doy fe que es un gran profesional, que desde el inicio de este proyecto político estuvo presente, apoyando cada paso en este camino hacia #ElEcuadorDelEncuentro. ",106,259,"1,5 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-20T16:38:04.000Z,"El espíritu emprendedor y luchador de los ecuatorianos lo veo reflejado en 
@nielsolsenp
, futuro Ministro de Turismo. Ecuador tiene un gran potencial turístico que debemos aprovechar. Saldremos adelante, reactivando al sector con promoción y respiro financiero.

¡Encontrémonos! ",94,235,"1,4 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-20T16:34:11.000Z,"Es un honor contar con 
@DonosoEcuador
 para el Ministerio de Trabajo, quien lleva años en el servicio público defendiendo el bienestar de los ecuatorianos. Garantizaremos los derechos laborales y empleos de calidad. 

¡Encontrémonos para lograr trabajos dignos en Ecuador! ",121,236,"1,1 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-20T16:32:30.000Z,"Como Asambleísta, 
@TanllyVera
 ha trabajado por el bienestar de agricultores y ganaderos. Desde hoy continúa su lucha por el sector como Ministra. Se dedicará a la reactivación, la revalorización y el acceso a mercados internacionales. 

¡El compromiso con el cambio es firme! ",142,285,"1,3 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-20T16:31:26.000Z,"El camino para el crecimiento es atraer inversión que genere oportunidades de bienestar. 
@pradojj
 será el Ministro de Producción, Comercio Exterior y Pesca. Confío en que impulsará el desarrollo nacional con innovación y apertura al mundo.

#ElEcuadorDelEncuentro ",90,222,1 mil
Guillermo Lasso,@LassoGuillermo,2021-05-20T16:15:01.000Z,"Vamos a poner en orden la economía con sentido social. 
@simoncueva
, como Ministro de Economía y Finanzas, llevará a cabo una gestión solidaria y consciente de la realidad ecuatoriana.

Ecuador volverá a ser un país próspero y de oportunidades para todos. ",117,228,"1,1 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-20T16:14:20.000Z,"Junto a Fernando Donoso en el Ministerio de Defensa, trazaremos una hoja de ruta que garantice la seguridad en Ecuador. Nuestro país merece PAZ y que todos sus habitantes se sientan seguros. 

¡El Gobierno del encuentro cuenta con profesionales preparados y comprometidos! ",61,207,1 mil
Guillermo Lasso,@LassoGuillermo,2021-05-20T16:06:36.000Z,".
@GustavoManriq_M
, como Ministro del Ambiente y Agua, estará a cargo de una transición productiva y sostenible que respete la naturaleza y los derechos de las comunidades. 

De la mano de Gustavo, Ecuador asumirá un liderazgo ambiental e innovador. ¡El cambio de siente! ",43,176,786
Guillermo Lasso,@LassoGuillermo,2021-05-20T16:06:11.000Z,"En el Ministerio de Telecomunicaciones y de la Sociedad de la Información, 
@vmaino
 se enfocará en:

 Acceso a internet y cobertura celular
 Un Gobierno digital con servicios públicos de calidad 
 Impulsar la digitalización para la telemedicina y la teleducación",66,198,748
Guillermo Lasso,@LassoGuillermo,2021-05-20T14:14:08.000Z,"A las 10h30 anunciaremos miembros del Gabinete ministerial. A días del 24 de Mayo, estamos listos para empezar a trabajar por el Ecuador.

Los invito a acompañarnos en esta transmisión EN VIVO. 

YT: https://youtu.be/4a4iycIEeuw
FB: https://fb.me/e/D1i7xQ0a

¡Los espero! ",144,345,"1,3 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-20T14:00:06.000Z,"En 
@EstebanBernalB
, Azuay tendrá a un Gobernador dedicado y comprometido con su trabajo, pero sobre todo a un azuayo honesto y agente de cambio. Trabajaremos con una visión de desarrollo provincial que logrará bienestar y prosperidad en Azuay. 

#ElEcuadorDelEncuentro ",255,433,"1,9 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-19T23:32:05.000Z,"Como demócrata, creo en la belleza de los sueños y su poder para inspirarnos. Creo en el derecho que tenemos a un entorno donde podamos dar lo mejor de nuestros talentos. 

En esta credencial vive la voluntad de un pueblo que se decidió por el cambio.

#ElEcuadorDelEncuentro ",686,1 mil,"6,4 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-19T19:05:28.000Z,"Es con profunda emoción que hoy he venido hasta aquí acompañado de mi esposa María de Lourdes, mis hijos y mi familia. Muchas gracias por estar en los momentos más difíciles. Ellos han hecho este recorrido conmigo, sosteniéndome en cada paso con su apoyo incondicional.",331,677,5 mil
Guillermo Lasso,@LassoGuillermo,2021-05-19T18:19:03.000Z,"El 11 de Abril, Ecuador expresó su voluntad de cambiar. Muchos vinieron con el regalo de la gobernabilidad, hablaron del 47% que no votó por nosotros. Nunca aceptaré que se use a esos ecuatorianos y sus justísimos anhelos como moneda de cambio en un trueque político.",465,766,"3,7 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-19T18:19:03.000Z,"El 47% votó por justicia económica, social y política. Por un país más equitativo y más solidario, valores y principios que compartimos. 
 
Pero no es cierto que hayan votado por la impunidad, ni por la corrupción, ni por la intromisión en decisiones judiciales.",252,545,"2,4 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-19T17:24:32.000Z,"Las credenciales de Presidente de la República representan sueños, ideas y la confianza de todo un país que anhela bienestar. 

Estoy aquí, dispuesto a trabajar con el mismo idealismo que ha guiado mi lucha desde la niñez.

¡ECUADOR DECIDIÓ CAMBIAR! ",400,639,"3,2 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-19T17:06:02.000Z,"Hoy celebramos la exitosa culminación de un proceso electoral que se llevó a cabo de forma eficiente. Agradezco a las instituciones involucradas y a cada ecuatoriano que ejerció su derecho al voto. Como ciudadano, les digo GRACIAS de corazón por esta jornada democrática. ",142,427,"2,2 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-19T15:51:05.000Z,"Es un orgullo anunciar que el Gobernador de Manabí será 
@juanfra_nunez
, un defensor de la libertad, con quien he trabajado desde el inicio de este proyecto político en 2009. Confío en que su gestión devolverá la esperanza a los manabitas con una labor inclusiva y transparente. ",187,464,"2,5 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-19T15:20:13.000Z,"Los daños causados por los ríos desbordados en Cuenca son graves. Familias necesitan atención urgente. El Dr. 
@ABorreroVega
 estará apoyando en las zonas afectadas. Fortaleceremos la gestión de riesgos y emergencias para tener una mayor capacidad de reacción.",107,317,"1,7 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-19T14:05:10.000Z,"A las 10h30 los invito a ser parte de la entrega de credenciales de Presidente y Vicepresidente de la República por parte del 
@cnegobec
.

Acompáñennos a celebrar la democracia y la voluntad popular. 

FB https://web.facebook.com/LassoGuillermo/posts/5556234064417791…
YT https://youtu.be/uBuNa5Ghp5o

#ElEcuadorDelEncuentro",153,371,"1,7 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-19T01:10:46.000Z,"Guayas necesita un administrador que haga frente a la inseguridad y a la falta de oportunidades. Como Gobernador, 
@VicenteTaianoA
 garantizará el orden, políticas públicas efectivas y los derechos de los ciudadanos.

¡Encontrémonos por la seguridad y el bienestar de Guayas! ",698,848,4 mil
Guillermo Lasso,@LassoGuillermo,2021-05-18T00:30:21.000Z,"¡7 días para el 24 de mayo!

Estamos listos para empezar el camino hacia un Ecuador de oportunidades. 

#ElEcuadorDelEncuentro",668,865,"6,7 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-12T20:40:26.000Z,"Todos los ecuatorianos anhelan una casa propia.

Junto a 
@dariovherrera
 en el Ministerio de Desarrollo Urbano y Vivienda vamos a construir hogares para miles de familias. Garantizaremos viviendas dignas a través de una gestión eficiente y solidaria.

#EncontrémonosPorLaVivienda",184,299,"1,3 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-12T16:37:17.000Z,"La vacunación es prioridad. Vamos a firmar un acuerdo de provisión de vacunas Sputnik V con Rusia para fortalecer nuestro plan. Agradecemos a las autoridades rusas por su disposición y apertura. 

Este es un gran encuentro por la salud y la reactivación del Ecuador.",842,"1,7 mil","10,9 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-11T22:16:41.000Z,"En #ElEcuadorDelEncuentro vamos a crear oportunidades para lograr la prosperidad de todas las familias ecuatorianas. 

Nuestra meta es un país moderno, con libertad para emprender, atraer inversión y generar empleo. ",247,317,2 mil
Guillermo Lasso,@LassoGuillermo,2021-05-11T16:04:22.000Z,"Pronto empezamos el recorrido hacia un mejor Ecuador, uno con empleo, bienestar y seguridad para todos. 

¡El cambio lo logramos juntos! ",801,873,"7,2 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-11T01:33:22.000Z,Nuestras más sinceras condolencias a la familia de Juan Eljuri por esta dolorosa pérdida. Que en paz descanse.,194,449,3 mil
Guillermo Lasso,@LassoGuillermo,2021-05-10T22:17:05.000Z,"Desde el Ministerio de Salud Pública, 
@XimenaGarzon11
 trabajará por vacunar a los ecuatorianos y fortalecer la atención en hospitales y centros de salud a nivel nacional. 

El sistema de salud en Ecuador será eficiente y transparente.  

#EncontrémonosPorLaSalud0:58
36,5 mil reproducciones",199,246,"1,3 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-10T15:56:36.000Z,"Los ministros del Frente Social tienen como objetivo mejorar la calidad de vida de los ecuatorianos bajo una visión de bienestar y solidaridad. 

En el Ecuador del encuentro, dialogamos y trabajamos por el cambio. ",197,254,"1,5 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-09T16:33:30.000Z,"Hoy recuerdo con mucho cariño a mi mamá Nora Mendoza. Estoy agradecido por todas sus enseñanzas y el amor incondicional. Asimismo, celebro a María de Lourdes, la luz y guía de nuestras vidas, a mi hija Luli, a mis nueras y a todas las madres de mi familia. 

#DíaDeLaMadre",126,363,4 mil
Guillermo Lasso,@LassoGuillermo,2021-05-09T13:16:55.000Z,"Las madres son valientes, decididas y luchadoras. Ellas salen adelante con mucho esfuerzo y trabajo. Su fortaleza es motivo de celebración y conmemoración. Cuenten con nosotros siempre, estamos comprometidos con crear oportunidades y asegurar su bienestar. 

¡Feliz #DíaDeLaMadre!",107,433,"2,5 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-08T21:11:31.000Z,"Junto a 
@BernardaOM
 enfocaremos los esfuerzos en la lucha contra la violencia y la ejecución de políticas públicas de bienestar. 

La Secretaría de DDHH tendrá sus puertas abiertas para dialogar y construir juntos un mejor país. 

#EncontrémonosPorLosDerechosHumanosNo se pudo reproducir el contenido multimedia.
Recargar",104,207,1 mil
